Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10836728,"The Rook (The Checquy Files, #1)",Daniel O'Malley,"O'Malley, Daniel",,0316098795,9780316098793,4,4.1,"Little, Brown and Company",Hardcover,504,2012,2012,8/23/2024,8/24/2024,,,read,,,,1,0
61837158,"The Good, the Messy, and the Beautiful: The Joys and Struggles of Real Married Life",Edward Sri,"Sri, Edward",Beth Sri,1954881371,9781954881372,4,4.52,Ascension,Kindle Edition,204,2022,,7/29/2024,7/31/2024,,,read,,,,1,0
53375824,Lore,Alexandra Bracken,"Bracken, Alexandra",,1484778200,9781484778203,2,3.75,Disney Hyperion,Hardcover,480,2021,2021,7/27/2024,7/29/2024,,,read,,,,1,0
5907,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin",,,3,4.29,Houghton Mifflin,Paperback,366,2002,1937,7/20/2024,12/31/2023,classics,classics (#30),read,,,,1,0
61198133,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,"Black, Holly",,0316592706,9780316592703,4,3.96,"Little, Brown Books for Young Readers",Hardcover,356,2023,2023,6/14/2024,7/17/2024,,,read,,,,1,0
61250159,"The Prisoner’s Throne (The Stolen Heir Duology, #2)",Holly Black,"Black, Holly",,0316592730,9780316592734,3,3.91,"Little, Brown",Kindle Edition,359,2024,2024,7/16/2024,7/16/2024,,,read,,,,1,0
27272420,"Like Lions (Bull Mountain, #2)",Brian Panowich,"Panowich, Brian",,0399173978,9780399173974,3,4.13,G.P. Putnam's Sons,Hardcover,304,2019,2019,7/11/2024,7/10/2024,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,1250301696,9781250301697,0,4.18,Celadon Books,Hardcover,336,2019,2019,,7/9/2024,to-read,to-read (#28),to-read,,,,0,0
2932,Robinson Crusoe,Daniel Defoe,"Defoe, Daniel",Virginia Woolf,,,2,3.68,Modern Library,Hardcover,320,2001,1719,7/6/2024,7/6/2024,classics,classics (#32),read,,,,1,0
89011586,Calling on the Matchmaker (A Shanahan Match #1),Jody Hedlund,"Hedlund, Jody",,0764241966,9780764241963,3,3.77,Bethany House Publishers,Paperback,352,2023,2023,7/8/2024,7/7/2024,,,read,,,,1,0
40495060,"The Pretenders (The Similars, #2)",Rebecca Hanover,"Hanover, Rebecca",,,,2,3.87,,,400,2019,2019,6/9/2024,6/9/2024,,,read,,,,1,0
39109661,"The Similars (The Similars, #1)",Rebecca Hanover,"Hanover, Rebecca",,149266510X,9781492665106,3,3.85,Sourcebooks Fire,Hardcover,386,2019,2019,6/2/2024,6/2/2024,,,read,,,,1,0
45043589,Meet Me at Midnight,Jessica Pennington,"Pennington, Jessica",,1250187664,9781250187666,4,3.88,Tor Teen,Hardcover,336,2020,2020,5/31/2024,5/31/2024,,,read,,,,1,0
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,1250268397,9781250268396,3,4.06,Flatiron Books,Hardcover,408,2021,2021,5/14/2024,5/14/2024,,,read,,,,1,0
409583,"The Wrinkle in Time Quintet - Digest Size Boxed Set (Time Quintet, #1-5)",Madeleine L'Engle,"L'Engle, Madeleine",,0312373511,9780312373511,0,4.35,Square Fish,Paperback,1400,2007,1989,,4/25/2024,to-read,to-read (#27),to-read,,,,0,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,0142437204,9780142437209,4,4.15,Penguin,Paperback,532,2003,1847,12/14/2024,10/25/2024,classics,classics (#5),read,,,,1,0
26192990,The Penguin Lessons,Tom Michell,"Michell, Tom",,0718181638,9780718181635,0,4.11,Michael Joseph,Hardcover,229,2015,2015,,3/22/2024,to-read,to-read (#26),to-read,,,,0,0
929,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,1400096898,9781400096893,2,4.15,Vintage Books USA,Mass Market Paperback,503,2005,1997,10/12/2024,12/31/2023,classics,classics (#31),read,,,,1,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,0140449264,9780140449266,3,4.31,Penguin Classics,Paperback,1276,2003,1844,10/9/2024,12/31/2023,classics,classics (#28),read,,,,1,0
56268954,"Never Fall for Your Fiancée (The Merriwell Sisters, #1)",Virginia Heath,"Heath, Virginia",,1250787769,9781250787767,2,3.56,Griffin,Paperback,359,2021,2021,1/2/2024,1/2/2024,,,read,,,,1,0
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,0061020680,9780061020681,0,4.24,Harpertorch,Mass Market Paperback,243,2001,1987,,1/5/2024,to-read,to-read (#25),to-read,,,,0,0
38601034,"The Lord of the Rings trilogy: The Fellowship of the Ring, The Two Towers, The Return of the King - (RUSSIAN EDITION)",J.R.R. Tolkien,"Tolkien, J.R.R.","Ingahild Grathmer, Eric Fraser",5352000249,9785352000243,0,4.53,Azbuka-klassika,Hardcover,0,2002,1954,,12/31/2023,"to-read, classics","to-read (#24), classics (#29)",to-read,,,,0,0
1,Title 1,Author 1,Lastname 1,,1234567890,1.23457E+12,5,4.5,Grand Central Publishing,Hardcover,339,2024,2024,10/8/2024,10/6/2024,"movie, read","movie (#1), read",,,,,1,0
2,Title 2,Author 2,Lastname 2,,987654321,9.87654E+11,4,4,G.P. Putnam's Sons,Paperback,403,2020,2020,10/4/2024,9/28/2024,"movie, read","movie (#2), read",,,,,1,0
3,Title 3,Author 3,Lastname 3,,1122334455,1.12233E+12,4,3.8,G.P. Putnam's Sons,Kindle Edition,400,2022,2022,9/28/2024,9/28/2024,"movie, read","movie (#3), read",,,,,1,0
4,Title 4,Author 4,Lastname 4,,9988776655,9.98878E+12,5,4.7,Deseret Book Company,Paperback,360,2010,2010,9/22/2024,9/20/2024,read,read (#4),,,,,1,0
5,Title 5,Author 5,Lastname 5,,7777888999,7.77789E+12,3,3.5,Knopf,Hardcover,448,2011,2011,,9/14/2024,currently-reading,currently-reading (#1),currently-reading,,,1,0,
6,Title 6,Author 6,Lastname 6,,3344556677,3.34456E+12,4,4.2,St. Martin's Press,Hardcover,564,2015,2015,9/13/2024,9/10/2024,read,read (#5),,,,,1,0
7,Title 7,Author 7,Lastname 7,,2233445566,2.23345E+12,5,4.8,St Martins Pr,Paperback,167,1987,1986,9/9/2024,9/9/2024,"movie, read","movie (#4), read",,,,,2,0
8,Title 8,Author 8,Lastname 8,,5566778899,5.56678E+12,4,4.1,Sphere,Paperback,368,2007,1994,,9/9/2024,to-read,to-read (#29),to-read,,,0,0,
9,Title 9,Author 9,Lastname 9,,4433221100,4.43322E+12,3,3.2,Entangled: Red Tower Books,Hardcover,517,2023,2023,9/7/2024,9/9/2024,read,read (#6),,,,,1,0
10,Title 10,Author 10,Lastname 10,,5566889988,5.56689E+12,4,4.4,Head of Zeus,Hardcover,336,2013,2013,8/27/2024,8/26/2024,read,read (#7),,,,,1,0
11,Title 11,Author 11,Lastname 11,,6677889900,6.67789E+12,5,4.9,"Little, Brown and Company",Hardcover,504,2012,2012,8/23/2024,8/24/2024,read,read (#8),,,,,1,0
12,Title 12,Author 12,Lastname 12,,3344998877,3.345E+12,4,4.3,Ascension,Kindle Edition,204,2022,,7/29/2024,7/31/2024,read,read (#9),,,,,1,0
13,Title 13,Author 13,Lastname 13,,1122336655,1.12234E+12,3,3,Disney Hyperion,Hardcover,480,2021,2021,7/27/2024,7/29/2024,read,read (#10),,,,,1,0
14,Title 14,Author 14,Lastname 14,,6677880022,6.67788E+12,5,4.6,Houghton Mifflin,Paperback,366,2002,1937,7/20/2024,12/31/2023,"classics, movie","classics (#30), movie (#5)",read,,,1,0,
15,Title 15,Author 15,Lastname 15,,7788996655,7.789E+12,4,4.3,"Little, Brown Books for Young Readers",Hardcover,356,2023,2023,6/14/2024,7/17/2024,read,read (#11),,,,,1,0
16,Title 16,Author 16,Lastname 16,,2233447788,2.23345E+12,4,4.4,"Little, Brown",Kindle Edition,359,2024,2024,7/16/2024,7/16/2024,read,read (#12),,,,,1,0
